Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,M_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap__Positions_Short_Old,Swap__Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap__Positions_Short_Other,Swap__Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined
WHEAT-HRW - CHICAGO BOARD OF TRADE,240206,2024-02-06,001612,CBT ,0,1,250859,34881,62372,52129,1392,12247,43709,75468,53056,18898,9398,16791,231711,230724,19148,20135,161018,13506,33994,29255,3558,3192,45977,60108,30588,20817,11526,5098,148433,148064,12585,12954,89841,21375,28378,25276,236,6653,12204,29832,7996,5400,5191,4374,83278,82660,6563,7181,   13083,    7168,    4497,   -1471,     -63,    1795,    2345,    2226,    -802,     154,    2429,    3941,   13130,   14023,     -47,    -940,100.0,13.9,24.9,20.8,0.6,4.9,17.4,30.1,21.1,7.5,3.7,6.7,92.4,92.0,7.6,8.0,100.0,8.4,21.1,18.2,2.2,2.0,28.6,37.3,19.0,12.9,7.2,3.2,92.2,92.0,7.8,8.0,100.0,23.8,31.6,28.1,0.3,7.4,13.6,33.2,8.9,6.0,5.8,4.9,92.7,92.0,7.3,8.0,214,     44,     51,     18,.,     14,     44,     41,     45,     19,     22,     23,167,    163,199,     30,     44,     14,      5,      8,     45,     38,     34,     20,     18,     13,133,    136,    155,     38,     40,     17,.,      9,     25,     23,     13,     14,     19,     14,    109,    106,18.4,15.4,28.5,26.7,14.7,12.8,22.3,21.2,21.5,20.5,35.4,35.0,17.4,20.1,30.2,32.8,22.0,21.3,37.6,35.6,17.2,20.3,27.1,32.8,"(CONTRACTS OF 5,000 BUSHELS)",001612,CBT ,1,A10,FutOnly
WHEAT-HRW - CHICAGO BOARD OF TRADE,240130,2024-01-30,001612,CBT ,0,1,237776,27713,57875,53600,1455,10452,41364,73242,53858,18744,6969,12850,218581,216701,19195,21075,158981,9932,34290,30937,3473,2313,49654,63560,29415,19863,7776,3198,145312,144025,13669,14956,78795,17781,23585,25536,855,5266,9909,27881,6244,3884,4196,4649,73269,72676,5526,6119,   10103,    -639,    6498,    1147,     -23,     544,    1696,   -3247,    1519,    2056,    1015,    2906,    9229,    9212,     874,     891,100.0,11.7,24.3,22.5,0.6,4.4,17.4,30.8,22.7,7.9,2.9,5.4,91.9,91.1,8.1,8.9,100.0,6.2,21.6,19.5,2.2,1.5,31.2,40.0,18.5,12.5,4.9,2.0,91.4,90.6,8.6,9.4,100.0,22.6,29.9,32.4,1.1,6.7,12.6,35.4,7.9,4.9,5.3,5.9,93.0,92.2,7.0,7.8,206,     42,     49,     18,.,     11,     42,     44,     46,     21,     14,     23,163,    156,191,     30,     43,     14,      5,      6,     45,     38,     38,     17,     14,     10,131,    130,    145,     32,     39,     17,.,      7,     23,     22,     13,     15,     14,     14,    101,    100,18.6,16.1,29.3,27.1,15.5,13.9,23.3,21.9,19.9,21.2,34.6,35.6,17.5,21.0,30.7,33.0,24.6,21.4,40.6,35.5,19.7,20.5,30.9,30.2,"(CONTRACTS OF 5,000 BUSHELS)",001612,CBT ,1,A10,FutOnly
WHEAT-HRW - CHICAGO BOARD OF TRADE,240123,2024-01-23,001612,CBT ,0,1,227673,28352,51377,52453,1478,9908,39668,76489,52339,16688,5954,9944,209352,207489,18321,20184,156214,12462,32879,31133,4180,1861,51796,68249,26279,16800,6071,2325,142656,141844,13558,14370,71459,15890,18498,25323,1301,4044,8694,29062,5238,3356,3351,4151,66696,65645,4763,5814,    8013,     935,    5468,     529,    -768,     982,    1153,    -148,    1954,    -527,   -1186,    3453,    8479,    9755,    -466,   -1742,100.0,12.5,22.6,23.0,0.6,4.4,17.4,33.6,23.0,7.3,2.6,4.4,92.0,91.1,8.0,8.9,100.0,8.0,21.0,19.9,2.7,1.2,33.2,43.7,16.8,10.8,3.9,1.5,91.3,90.8,8.7,9.2,100.0,22.2,25.9,35.4,1.8,5.7,12.2,40.7,7.3,4.7,4.7,5.8,93.3,91.9,6.7,8.1,210,     48,     51,     18,.,     12,     39,     46,     42,     20,     19,     22,164,    159,200,     38,     44,     14,      6,      6,     44,     38,     34,     20,     17,     11,136,    136,    143,     32,     40,     16,.,      7,     18,     23,     12,     17,     13,     12,     97,     97,19.2,16.5,30.4,27.0,16.3,14.9,23.4,23.6,20.8,21.2,35.2,34.1,18.4,21.1,31.0,33.2,26.3,24.5,41.4,38.4,21.6,22.7,34.0,31.4,"(CONTRACTS OF 5,000 BUSHELS)",001612,CBT ,1,A10,FutOnly
WHEAT-HRW - CHICAGO BOARD OF TRADE,240116,2024-01-16,001612,CBT ,0,1,219660,27417,45909,51924,2246,8926,38515,76637,50385,17215,7140,6491,200873,197734,18787,21926,151718,13720,29764,31624,4936,1208,46969,64772,25780,16799,6652,1922,138022,135034,13696,16684,67942,13697,16145,24760,1770,3258,11347,31666,4804,2289,2361,2696,62851,62700,5091,5242,    5174,   -1143,   -5850,    4011,     -47,   -1067,    1583,    5760,    2797,    -379,     760,     270,    6072,    2623,    -898,    2551,100.0,12.5,20.9,23.6,1.0,4.1,17.5,34.9,22.9,7.8,3.3,3.0,91.4,90.0,8.6,10.0,100.0,9.0,19.6,20.8,3.3,0.8,31.0,42.7,17.0,11.1,4.4,1.3,91.0,89.0,9.0,11.0,100.0,20.2,23.8,36.4,2.6,4.8,16.7,46.6,7.1,3.4,3.5,4.0,92.5,92.3,7.5,7.7,203,     46,     50,     18,      5,     12,     33,     46,     42,     17,     22,     16,155,    153,195,     36,     43,     14,      8,      6,     40,     36,     35,     20,     16,      9,132,    131,    137,     33,     40,     16,      4,      6,     16,     23,     12,     13,     11,     10,     94,     91,21.2,17.1,32.5,28.2,16.7,15.2,24.0,23.5,21.8,22.3,35.4,34.7,19.1,20.9,30.3,31.5,30.4,26.0,44.8,40.2,27.1,24.3,39.5,34.4,"(CONTRACTS OF 5,000 BUSHELS)",001612,CBT ,1,A10,FutOnly
WHEAT-HRW - CHICAGO BOARD OF TRADE,240109,2024-01-09,001612,CBT ,0,1,214486,28560,51759,47913,2293,9993,36932,70877,47588,17594,6380,6221,194801,195111,19685,19375,153095,15839,36971,31753,5420,976,45971,62475,24693,17555,6233,1597,138384,138365,14711,14730,61391,12721,14788,22720,3433,2457,9327,26768,4529,1635,1743,3028,56417,56746,4974,4645,    3320,     911,    4786,    2706,     -34,    -143,     670,     433,   -4180,     829,    1219,    1194,    1987,    3275,    1333,      45,100.0,13.3,24.1,22.3,1.1,4.7,17.2,33.0,22.2,8.2,3.0,2.9,90.8,91.0,9.2,9.0,100.0,10.3,24.1,20.7,3.5,0.6,30.0,40.8,16.1,11.5,4.1,1.0,90.4,90.4,9.6,9.6,100.0,20.7,24.1,37.0,5.6,4.0,15.2,43.6,7.4,2.7,2.8,4.9,91.9,92.4,8.1,7.6,211,     46,     55,     19,      5,     12,     36,     43,     42,     19,     21,     18,159,    160,205,     37,     46,     17,      7,      7,     40,     38,     31,     20,     20,      9,133,    139,    140,     31,     43,     15,      4,      6,     17,     22,     14,     11,     14,     12,     94,     97,20.8,17.2,32.0,29.2,16.3,15.5,23.1,23.9,21.6,21.7,34.8,35.4,19.0,20.6,30.0,32.0,31.2,29.5,44.9,46.0,27.7,28.0,39.7,38.4,"(CONTRACTS OF 5,000 BUSHELS)",001612,CBT ,1,A10,FutOnly
WHEAT-HRW - CHICAGO BOARD OF TRADE,240102,2024-01-02,001612,CBT ,0,1,211166,27649,46973,45207,2327,10136,36262,70444,51768,16765,5161,5027,192814,191836,18352,19330,153794,15916,33266,31678,4985,1495,43713,63518,28868,16817,5330,1354,139841,138816,13953,14978,57372,11733,13707,20463,4276,1707,10681,25058,4768,1197,1080,2424,52973,53020,4399,4352,    5739,    1081,    3682,    6463,    -530,      23,   -6003,   -2579,    5061,     433,     729,    -663,    6395,    5723,    -656,      16,100.0,13.1,22.2,21.4,1.1,4.8,17.2,33.4,24.5,7.9,2.4,2.4,91.3,90.8,8.7,9.2,100.0,10.3,21.6,20.6,3.2,1.0,28.4,41.3,18.8,10.9,3.5,0.9,90.9,90.3,9.1,9.7,100.0,20.5,23.9,35.7,7.5,3.0,18.6,43.7,8.3,2.1,1.9,4.2,92.3,92.4,7.7,7.6,213,     44,     57,     20,      4,     10,     37,     43,     42,     19,     15,     18,157,    158,207,     37,     49,     18,      6,      6,     39,     39,     33,     21,     16,      8,133,    139,    139,     30,     47,     14,      4,      5,     18,     20,     14,     10,     12,     12,     91,     98,21.8,18.5,32.9,30.1,15.3,15.5,22.1,23.6,22.1,23.0,34.7,35.8,18.2,20.3,29.0,30.3,33.1,31.1,46.4,48.3,29.3,29.6,42.0,40.8,"(CONTRACTS OF 5,000 BUSHELS)",001612,CBT ,1,A10,FutOnly
WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE,240305,2024-03-05,001626,MGE ,0,1,64856,35205,13031,1399,523,261,7030,31240,6146,2712,366,2685,55438,54252,9418,10604,54507,27355,8311,936,776,1,8224,30551,4857,4105,380,949,46427,45825,8080,8682,10349,7850,4720,723,7,0,95,1978,0,139,1518,204,9011,8427,1338,1922,   -2795,   -1935,     129,     -49,    -106,      40,     672,   -1171,    -774,     -83,   -1350,    -107,   -2236,   -3339,    -559,     544,100.0,54.3,20.1,2.2,0.8,0.4,10.8,48.2,9.5,4.2,0.6,4.1,85.5,83.6,14.5,16.4,100.0,50.2,15.2,1.7,1.4,0.0,15.1,56.0,8.9,7.5,0.7,1.7,85.2,84.1,14.8,15.9,100.0,75.9,45.6,7.0,0.1,0.0,0.9,19.1,0.0,1.3,14.7,2.0,87.1,81.4,12.9,18.6,110,     47,     31,      4,.,.,      9,     24,      9,     12,      4,     10,81,     75,108,     45,     20,      4,.,.,     10,     24,      8,     14,.,      6,78,     58,     63,     20,     25,.,.,      0,.,      8,      0,.,      8,      5,     30,     43,20.3,28.1,31.9,40.2,15.8,28.1,26.1,38.4,22.7,33.2,34.9,46.1,19.4,33.2,27.6,45.0,48.3,28.7,65.7,47.5,48.3,27.4,65.7,45.2,"(CONTRACTS OF 5,000 BUSHELS)",001626,MGE ,1,A10,FutOnly
WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE,240227,2024-02-27,001626,MGE ,0,1,67651,37140,12902,1448,629,221,6358,32411,6920,2795,1716,2792,57674,57591,9977,10060,57874,29766,8375,1045,842,1,7790,31672,5367,3595,1745,1611,49175,49613,8699,8261,9777,7374,4527,623,7,0,121,2292,0,151,922,230,8499,7978,1278,1799,   -3440,     231,   -3010,    -654,      35,      41,    -698,    1073,     141,   -1105,    -593,    -489,   -2533,   -2802,    -907,    -638,100.0,54.9,19.1,2.1,0.9,0.3,9.4,47.9,10.2,4.1,2.5,4.1,85.3,85.1,14.7,14.9,100.0,51.4,14.5,1.8,1.5,0.0,13.5,54.7,9.3,6.2,3.0,2.8,85.0,85.7,15.0,14.3,100.0,75.4,46.3,6.4,0.1,0.0,1.2,23.4,0.0,1.5,9.4,2.4,86.9,81.6,13.1,18.4,115,     47,     36,      4,.,.,      7,     29,      9,     11,      5,     10,82,     85,114,     46,     29,      4,.,.,      9,     28,      9,     12,      6,      8,80,     75,     60,     18,     24,.,.,      0,.,      7,      0,      4,      6,.,     29,     38,18.7,28.6,31.7,40.6,14.0,27.1,23.5,36.8,21.7,31.9,34.3,45.0,17.3,31.6,25.8,42.6,49.6,30.3,65.4,50.9,49.6,29.0,65.4,48.9,"(CONTRACTS OF 5,000 BUSHELS)",001626,MGE ,1,A10,FutOnly
WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE,240220,2024-02-20,001626,MGE ,0,1,71091,36909,15912,2102,594,180,7056,31338,6779,3900,2309,3281,60207,60393,10884,10698,62229,30001,11453,1687,757,1,8438,30986,5297,4747,2285,2223,52394,53002,9835,9227,8862,6908,4459,585,7,9,100,1834,0,119,990,92,7813,7391,1049,1471,    -574,   -1508,    -140,      70,     235,       1,     363,    -199,     331,     266,    -939,    -270,    -747,    -981,     173,     407,100.0,51.9,22.4,3.0,0.8,0.3,9.9,44.1,9.5,5.5,3.2,4.6,84.7,85.0,15.3,15.0,100.0,48.2,18.4,2.7,1.2,0.0,13.6,49.8,8.5,7.6,3.7,3.6,84.2,85.2,15.8,14.8,100.0,78.0,50.3,6.6,0.1,0.1,1.1,20.7,0.0,1.3,11.2,1.0,88.2,83.4,11.8,16.6,118,     50,     41,      5,.,      4,      7,     28,     10,     11,      6,     10,85,     92,117,     49,     38,      5,.,.,      9,     27,     10,     13,      5,      9,83,     86,     65,     19,     27,.,.,.,.,      8,      0,.,      7,      4,     30,     44,18.4,26.7,30.3,37.4,13.2,25.4,22.1,34.1,21.0,29.1,32.7,40.9,14.7,29.0,23.8,38.8,51.5,29.0,68.1,47.9,51.5,27.5,68.1,45.8,"(CONTRACTS OF 5,000 BUSHELS)",001626,MGE ,1,A10,FutOnly
WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE,240213,2024-02-13,001626,MGE ,0,1,71665,38417,16052,2032,359,179,6693,31537,6448,3634,3248,3551,60954,61374,10711,10291,63523,32198,11855,1694,522,3,7457,30840,5584,4301,3242,2580,53817,54626,9706,8897,8142,6219,4197,507,6,7,100,1561,0,128,801,176,7137,6748,1005,1394,   -1222,   -3216,   -2753,     249,      11,    -354,    1170,      56,     542,     123,    1641,   -1057,   -2543,   -1914,    1321,     692,100.0,53.6,22.4,2.8,0.5,0.2,9.3,44.0,9.0,5.1,4.5,5.0,85.1,85.6,14.9,14.4,100.0,50.7,18.7,2.7,0.8,0.0,11.7,48.5,8.8,6.8,5.1,4.1,84.7,86.0,15.3,14.0,100.0,76.4,51.5,6.2,0.1,0.1,1.2,19.2,0.0,1.6,9.8,2.2,87.7,82.9,12.3,17.1,114,     47,     37,      5,.,.,      7,     29,     10,     13,      7,     14,83,     91,114,     47,     30,      5,.,.,      9,     28,     10,     13,      7,     12,81,     82,     59,     19,     22,.,.,.,.,      7,      0,      4,      7,      4,     31,     38,18.6,26.1,31.3,39.0,12.8,24.3,22.2,34.5,20.9,28.1,33.2,42.4,14.3,27.4,23.1,38.9,51.9,30.4,67.1,50.7,51.9,28.3,66.5,47.9,"(CONTRACTS OF 5,000 BUSHELS)",001626,MGE ,1,A10,FutOnly
WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE,240206,2024-02-06,001626,MGE ,0,1,72887,41633,18805,1783,348,533,5523,31481,5906,3511,1607,4608,63497,63288,9390,9599,65849,35998,15423,1519,511,363,6117,30754,5312,4398,1571,3424,57131,57358,8718,8491,7038,5635,3382,427,0,7,0,1321,0,158,1081,139,6366,5930,672,1108,    3313,    -434,    1993,      45,      -1,     196,    1068,    -175,     631,     769,     722,    1185,    3460,    4551,    -147,   -1238,100.0,57.1,25.8,2.4,0.5,0.7,7.6,43.2,8.1,4.8,2.2,6.3,87.1,86.8,12.9,13.2,100.0,54.7,23.4,2.3,0.8,0.6,9.3,46.7,8.1,6.7,2.4,5.2,86.8,87.1,13.2,12.9,100.0,80.1,48.1,6.1,0.0,0.1,0.0,18.8,0.0,2.2,15.4,2.0,90.5,84.3,9.5,15.7,121,     53,     44,      6,.,      4,      7,     26,     12,     15,      5,     15,95,     96,121,     53,     36,      6,.,.,      8,     26,     12,     16,      5,     13,94,     85,     63,     19,     25,.,      0,.,      0,      7,      0,      6,      7,      4,     31,     41,17.8,26.0,29.6,37.8,12.3,24.8,21.9,34.3,19.4,27.8,31.6,40.3,13.1,27.5,21.9,37.4,54.6,31.5,69.8,50.2,54.6,29.9,69.8,45.3,"(CONTRACTS OF 5,000 BUSHELS)",001626,MGE ,1,A10,FutOnly
WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE,240130,2024-01-30,001626,MGE ,0,1,69574,42067,16812,1738,349,337,4455,31656,5275,2742,885,3423,60037,58737,9537,10837,62814,36546,13532,1489,512,163,4992,31298,4738,3616,893,2287,53831,53423,8983,9391,6760,5521,3280,412,0,11,0,895,0,93,959,169,6206,5314,554,1446,    3706,    2115,    4307,     114,     -36,     211,     806,   -2395,     731,    -378,    -328,      93,    3692,    2583,      14,    1123,100.0,60.5,24.2,2.5,0.5,0.5,6.4,45.5,7.6,3.9,1.3,4.9,86.3,84.4,13.7,15.6,100.0,58.2,21.5,2.4,0.8,0.3,7.9,49.8,7.5,5.8,1.4,3.6,85.7,85.0,14.3,15.0,100.0,81.7,48.5,6.1,0.0,0.2,0.0,13.2,0.0,1.4,14.2,2.5,91.8,78.6,8.2,21.4,116,     56,     41,      6,.,.,      6,     25,     10,      9,      5,     12,92,     87,116,     56,     34,      6,.,.,      7,     25,      9,     12,      4,     11,91,     77,     56,     18,     23,.,      0,.,      0,      7,      0,      4,      5,      4,     29,     36,18.0,26.2,29.7,37.6,12.3,26.2,21.8,35.3,18.9,29.0,29.8,40.6,12.8,29.0,23.3,38.6,55.1,29.0,70.7,46.6,55.1,25.9,70.7,41.4,"(CONTRACTS OF 5,000 BUSHELS)",001626,MGE ,1,A10,FutOnly
WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE,240123,2024-01-23,001626,MGE ,0,1,65868,39952,12505,1624,385,126,3649,34051,4544,3120,1213,3330,56345,56154,9523,9714,59624,34562,9398,1404,500,0,3986,33687,4207,4276,1136,2119,50554,51047,9070,8577,6244,5390,3107,335,0,11,0,701,0,7,1240,48,5791,5107,453,1137,    2487,     385,     978,    -253,     192,      -3,    2048,    2667,   -1133,     449,    -412,    1020,    2513,    3309,     -26,    -822,100.0,60.7,19.0,2.5,0.6,0.2,5.5,51.7,6.9,4.7,1.8,5.1,85.5,85.3,14.5,14.7,100.0,58.0,15.8,2.4,0.8,0.0,6.7,56.5,7.1,7.2,1.9,3.6,84.8,85.6,15.2,14.4,100.0,86.3,49.8,5.4,0.0,0.2,0.0,11.2,0.0,0.1,19.9,0.8,92.7,81.8,7.3,18.2,116,     49,     35,      5,.,.,      7,     27,      9,     13,      5,     11,85,     83,116,     49,     31,      5,.,      0,      8,     27,      8,     17,      4,      9,84,     75,     54,     19,     19,.,      0,.,      0,      7,      0,.,      9,      4,     28,     36,17.9,27.8,31.0,39.4,14.9,27.8,25.6,37.2,19.4,30.7,31.5,42.8,16.4,30.7,27.4,41.0,59.6,30.3,76.6,47.8,59.6,27.5,76.6,44.4,"(CONTRACTS OF 5,000 BUSHELS)",001626,MGE ,1,A10,FutOnly
WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE,240116,2024-01-16,001626,MGE ,0,1,63381,39567,11527,1877,193,129,1601,31384,5677,2671,1625,2310,53832,52845,9549,10536,57638,34697,8472,1685,308,2,1813,31177,5441,3556,1572,1409,48603,48381,9035,9257,5743,4870,3055,307,0,12,0,419,24,3,941,13,5229,4464,514,1279,    2449,    2087,     484,      65,       9,     126,     496,    1467,    -750,    -560,     572,     579,    2043,    2487,     406,     -38,100.0,62.4,18.2,3.0,0.3,0.2,2.5,49.5,9.0,4.2,2.6,3.6,84.9,83.4,15.1,16.6,100.0,60.2,14.7,2.9,0.5,0.0,3.1,54.1,9.4,6.2,2.7,2.4,84.3,83.9,15.7,16.1,100.0,84.8,53.2,5.3,0.0,0.2,0.0,7.3,0.4,0.1,16.4,0.2,91.0,77.7,8.9,22.3,112,     47,     36,      6,.,      4,      4,     28,     11,      9,      6,     10,80,     86,112,     47,     35,      6,.,.,      5,     28,     11,     13,      5,      8,79,     81,     48,     16,     18,.,      0,.,      0,      5,.,.,      7,.,     24,     32,20.6,26.8,35.0,38.6,17.2,25.6,28.0,34.8,22.5,29.3,35.1,41.9,19.6,28.2,29.7,38.3,60.6,32.6,78.5,48.3,60.6,29.0,78.5,44.6,"(CONTRACTS OF 5,000 BUSHELS)",001626,MGE ,1,A10,FutOnly
WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE,240109,2024-01-09,001626,MGE ,0,1,60932,37480,11043,1812,184,3,1105,29917,6427,3231,1053,1731,51789,50358,9143,10574,55672,32867,8151,1622,184,2,1363,29775,6134,3745,1027,1187,46920,46460,8752,9212,5260,4613,2892,190,0,1,1,401,34,2,542,28,4869,3898,391,1362,    3767,    2496,    1165,     -87,     -10,      -8,     594,    2520,     234,     286,    -609,     112,    3627,    3404,     140,     363,100.0,61.5,18.1,3.0,0.3,0.0,1.8,49.1,10.5,5.3,1.7,2.8,85.0,82.6,15.0,17.4,100.0,59.0,14.6,2.9,0.3,0.0,2.4,53.5,11.0,6.7,1.8,2.1,84.3,83.5,15.7,16.5,100.0,87.7,55.0,3.6,0.0,0.0,0.0,7.6,0.6,0.0,10.3,0.5,92.6,74.1,7.4,25.9,114,     50,     35,      6,.,.,      6,     27,     12,     11,.,      8,84,     80,114,     50,     33,      6,.,.,      8,     26,     11,     13,.,      8,83,     77,     49,     17,     22,.,      0,.,.,      4,.,.,      5,.,     25,     32,21.4,28.0,35.3,39.9,18.6,26.6,28.2,35.6,23.3,30.5,36.0,43.1,20.2,29.1,28.8,39.0,61.9,31.9,80.8,48.2,61.9,28.3,79.1,42.9,"(CONTRACTS OF 5,000 BUSHELS)",001626,MGE ,1,A10,FutOnly
